# Pathway	cat_cutrefo1-MmMm-USA-23-ATP-1873_S352_L005_Abundance	cat_cutrefo10-SbMm-USA-23-ATP-1873_S361_L005_Abundance	cat_cutrefo11-SbMm-USA-23-ATP-1873_S362_L005_Abundance	cat_cutrefo12-SbMm-USA-23-ATP-1873_S363_L005_Abundance	cat_cutrefo13-SbMm-USA-23-ATP-1873_S364_L005_Abundance	cat_cutrefo14-SbMm-USA-23-ATP-1873_S365_L005_Abundance	cat_cutrefo15-SbMm-USA-23-ATP-1873_S366_L005_Abundance	cat_cutrefo16-SbMm-USA-23-ATP-1873_S367_L005_Abundance	cat_cutrefo17-SbMm-USA-23-ATP-1873_S368_L005_Abundance	cat_cutrefo18-SbMm-USA-23-ATP-1873_S369_L005_Abundance	cat_cutrefo19-HsMm-USA-23-ATP-1873_S370_L005_Abundance	cat_cutrefo2-MmMm-USA-23-ATP-1873_S353_L005_Abundance	cat_cutrefo20-HsMm-USA-23-ATP-1873_S371_L005_Abundance	cat_cutrefo21-HsMm-USA-23-ATP-1873_S372_L005_Abundance	cat_cutrefo22-HsMm-USA-23-ATP-1873_S373_L005_Abundance	cat_cutrefo23-HsMm-USA-23-ATP-1873_S374_L005_Abundance	cat_cutrefo24-HsMm-USA-23-ATP-1873_S375_L005_Abundance	cat_cutrefo25-HsMm-USA-23-ATP-1873_S376_L005_Abundance	cat_cutrefo26-HsMm-USA-23-ATP-1873_S377_L005_Abundance	cat_cutrefo3-MmMm-USA-23-ATP-1873_S354_L005_Abundance	cat_cutrefo4-MmMm-USA-23-ATP-1873_S355_L005_Abundance	cat_cutrefo5-MmMm-USA-23-ATP-1873_S356_L005_Abundance	cat_cutrefo6-MmMm-USA-23-ATP-1873_S357_L005_Abundance	cat_cutrefo7-MmMm-USA-23-ATP-1873_S358_L005_Abundance	cat_cutrefo8-MmMm-USA-23-ATP-1873_S359_L005_Abundance	cat_cutrefo9-SbMm-USA-23-ATP-1873_S360_L005_Abundance
GLUCONEO-PWY: gluconeogenesis I	199.669	104.171	111.849	53.4363	166.358	125.526	147.745	130.709	100.269	118.321	151.886	245.808	188.427	215.111	239.451	203.033	250.426	199.154	258.841	0	0	179.733	0	209.38	249.177	84.522
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0	3.55576	25.1338	6.95113	24.9944	11.3741	21.0464	30.4882	5.75932	15.5725	0	0	0	0	0	132.466	0	0	0	0	0	0	0	0	0	14.7715
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	26.0093	11.3008	15.4836	0	19.1596	0	0	23.4267	0	0	89.2133	29.6838	50.0814	90.6226	23.6957	23.2841	41.3845	73.6864	45.8235	179.919	71.5831	0	37.4647	86.3016	162.088	15.3415
GLUDEG-I-PWY: GABA shunt	0	0.68869	5.39017	0	2.2582	0	4.71223	0	0	6.69421	0	23.0086	0	0	0	1.96959	0	0	0	0	0	0	0	6.76543	6.51335	8.79366
GLUTORN-PWY: L-ornithine biosynthesis I	94.7151	136.877	171.028	108.362	236.222	240.05	276.494	254.668	118.878	205.671	60.3399	182.475	86.1506	64.2016	67.2738	73.5088	137.054	148.777	88.3774	0	0	128.62	93.7925	177.929	205.401	169.552
GLYCOCAT-PWY: glycogen degradation I	0	0	3.8712	0	0	0	0	0	0	0	0	24.3351	18.5241	47.4901	29.0819	66.3993	31.211	26.1548	59.783	0	0	0	0	0	13.4075	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	262.554	249.588	374.387	292.802	398.841	426.367	509.704	492.006	276.229	399.775	224.91	350.992	231.699	271.891	98.0647	170.766	223.827	250.648	160.254	210.169	237.406	247.027	253.924	404.362	350.694	299.644
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	1.95204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	48.5514	9.01241	24.6086	24.6048	23.3136	0	11.9432	0	0	0	41.6925	57.9054	67.9685	111.926	63.6447	80.3187	71.8493	143.447	110.415	0	0	0	0	144.092	215.435	39.9786
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	354.492	144.498	176.286	244.965	273.056	235.949	295.86	348.183	236.253	292.439	115.959	368.367	158.926	193.429	226.654	182.771	224.734	179.397	246.707	238.042	199.162	260.474	162.018	330.369	398.361	108.917
